Rumah,,"Rp 4,25 Miliar",Cicilan: 15 Jutaan per bulan,Di Jual Rumah Bangunan Baru Jl Elang Bandung,"Andir, Bandung",8,4,0,269 m²,439 m²
Rumah,,"Rp 3,5 Miliar",Cicilan: 13 Jutaan per bulan,Dijual Cepat Rumah Siap Huni di Komplek Dadali ,"Andir, Bandung",4,3,1,240 m²,200 m²
Rumah,,"Rp 1,8 Miliar",Cicilan: 6 Jutaan per bulan,"Dijual Rumah Unfurnished di Jl. Rajawali Sakti I , Bandung","Andir, Bandung",4,3,2,158 m²,150 m²
Rumah,,Rp 600 Juta,Cicilan: 2 Jutaan per bulan,Rumah Bersih Nyaman 2 Lantai Di Jalan Waringin Andir Bandung,"Andir, Bandung",4,2,0,85 m²,80 m²
Rumah,,Rp 265 Juta,Cicilan: 985 Ribuan per bulan,Rumah Mungil Minimalis Murah di kota bandung dalam Gang 20 M ke Jl Rajawali Timur Bandung,"Andir, Bandung",1,1,0,22 m²,46 m²
Rumah,,"Rp 1,5 Miliar",Cicilan: 5 Jutaan per bulan," Rumah SHM - Sertifikat Hak Milik di Maleber, Andir","Andir, Bandung",5,4,1,170 m²,350 m²
Rumah,,"Rp 1,1 Miliar",Cicilan: 4 Jutaan per bulan,Rumah Terawat di Pusat Kota Bandung Sayap Rajawali Andir,"Andir, Bandung",4,1,1,97 m²,90 m²
Rumah,,"Rp 2,35 Miliar",Cicilan: 8 Jutaan per bulan,Rumah Siap Huni di Sayap Rajawali,"Andir, Bandung",3,2,0,198 m²,175 m²
Rumah,,"Rp 2,57 Miliar",Cicilan: 9 Jutaan per bulan,Strategis Ruko 2 Lantai Area Rajawali Garuda Andir Bandung Kota,"Andir, Bandung",4,2,2,134 m²,220 m²
Rumah,,Rp 500 Juta,Cicilan: 1 Jutaan per bulan,Rumah Nyaman Berada Dipusat Kota Bandung di Halteu Utara,"Andir, Bandung",4,1,1,120 m²,110 m²
Rumah,,Rp 3 Miliar,Cicilan: 11 Jutaan per bulan,Dijual Rumaah di Lugina Andir,"Andir, Bandung",2,1,1,240 m²,200 m²
Rumah,,Rp 550 Juta,Cicilan: 2 Jutaan per bulan,"Jl. Elang, Garuda, Andir. Dijual Rumah 3 Lantai di Kota Bandung","Andir, Bandung",2,2,1,31 m²,77 m²
Rumah,,"Rp 1,4 Miliar",Cicilan: 5 Jutaan per bulan,Rumah 2 Lantai dijual bagus siap huni sayap andir bandung,"Andir, Bandung",2,2,0,137 m²,160 m²
